date,caloric_intake ,daily_calories_burned,sleep_duration_hours,miles_ran ,pace,motivation_level ,temperature_degrees_fahrenheight,weather,time
04/17,2196,2138,5.53,NA,NA,5,63,cloudy,
04/18,2747,1942,8.17,NA,NA,5,61,cloudy,
04/19,3021,2311,7.82,4.25,10.07/mi,6,64,sunny,10:31 AM
04/20,2071,1589,6.5,NA,NA,3,63,sunny,
04/21,1807,2240,4.51,3.05,10:07/mi,7,62,sunny,7:02 AM
04/22,2139,1887,8.08,NA,NA,1,57,cloudy,
04/23,2427,1751,4.52,NA,NA,1,61,clodudy,
04/24,2278,2694,2.92,4.15,10:50/mi ,5,63,sunny,10:36 AM
04/25,1486,1728,7.68,NA,NA,3,57,mostly cloudy,
04/26,2835,2040,7.98,2,9:13/mi,5,55,mostly cloudy,12:10 PM
04/27,2974,2369,6.02,4.45,10:34/mi,6,59,sunny,10:32 AM
04/28,2038,2117,8.23,NA,NA,9,63,sunny,
04/29,2547,2300,7.57,4,9:44/mi,6,66,mostly sunny,10:05 AM
04/30,2391,2244,5.03,NA,NA,5,61,mostly cloudy,
05/01,2395,2243,6.92,2.1,8:43/mi,7,64,mostly cloudy,12:10 PM
05/02,2838,2047,8.42,2.07,11:24/mi,6,63,sunny,6:20 PM
05/03,2406,2232,5.32,2.29,8:56/mi,5,64,sunny,11:17 AM
05/04,2895,1921,8.48,NA,NA,5,63,mostly sunny,
05/05,2315,2378,8.28,2.61,10:09/mi,4,64,sunny,9:58 AM
05/06,2183,1935,6.52,NA,NA,5,64,mostly sunny,
05/07,2167,1809,7.12,NA,NA,5,68,mostly cloudy,
05/08,2382,2196,5.06,NA,NA,5,70,sunny,
05/09,1979,2410,9.06,4.3,10:28/mi,5,77,sunny,7:04 PM
05/10,2147,2351,8.35,3.6,10:40/mi,4,74,sunny,1:01 PM
05/11,2441,1723,8.05,NA,NA,3,75,sunny,
05/12,1916,1985,9.2,NA,NA,5,70,sunny,
05/13,2417,1930,6.88,NA,NA,5,67,sunny,
05/14,2107,2306,7.68,3.23,9:56/mi,6,70,sunny,9:52 PM
05/15,2521,3034,6.12,5.06,10:48/mi,7,65,sunny,6:35 PM
05/16,2398,2238,7.6,2.41,10:53/mi ,5,65,sunny,7:26 PM
05/17,2146,1702,10.06,2.25,10:36/mi ,5,70,mostly sunny,6:07 PM
05/18,2177,1729,5.85,NA,NA,3,72,sunny,
05/19,2045,2271,5.62,NA,NA,3,78,sunny,
05/20,1925,2064,6.23,NA,NA,3,74,sunny,
05/21,2942,1915,5.87,NA,NA,2,67,sunny,
05/22,2179,2300,2.5,2.71,9:25/mi,4,69,sunny,7:00 PM
05/23,2077,1859,9.93,NA,NA,1,68,sunny,
05/24,1889,1962,6.2,NA,NA,1,69,sunny,
